order,device,host,port,slave_id,discrete_inputs_start,discrete_inputs_size,coils_start,coils_size,input_registers_start,input_registers_size,holding_read_start,holding_read_size,holding_write_start,holding_write_size
0,condenser,condenser,502,1,0,16,0,8,0,49,0,0,1,3
1,condensate_pump,condensate-pump,502,1,0,16,0,8,0,49,0,0,1,3
2,feedwater_tank,feedwater-tank,502,1,0,16,0,8,0,49,0,0,1,3
3,feedwater_pump,feedwater-pump,502,1,0,16,0,8,0,49,0,0,1,3
4,boiler,boiler,502,1,0,16,0,8,0,49,0,0,1,3
5,steam_valve,steam-valve,502,1,0,16,0,8,0,49,0,0,1,3
6,turbine,turbine,502,1,0,16,0,8,0,49,0,0,1,3
7,generator,generator,502,1,0,16,0,8,0,49,0,0,1,3
